contracts,z_thresh,atr_stop_ratio,trail_activate,trail_distance,breakeven_ticks,vwap_slope_thresh,pass_rate,blow_rate,avg_days_to_pass,sortino,expectancy,profit_factor,win_rate,avg_win,avg_loss,risk_reward,n_trades,total_pnl,loo_std,score,val_pass_rate,val_blow_rate,val_avg_days,val_n_trades,wf_score
2,1.2,0.65,16,4,10,0.3,0.589,0.411,8.8,0.156,36.75,1.287,0.3838,428.97,207.58,2.067,198,6173.4,0.0829,57.2421,,,,,
1,1.2,0.8,12,10,6,0.3,0.591,0.377,18.3,0.128,14.54,1.272,0.412,164.92,90.85,1.815,216,2535.7,0.0982,57.2324,,,,,
2,1.5,0.8,16,4,10,1.0,0.591,0.404,14.6,0.142,36.16,1.265,0.3814,452.05,220.21,2.053,118,3606.4,0.0947,57.2215,,,,,
2,1.2,0.8,12,8,8,0.3,0.585,0.415,6.9,0.185,46.07,1.393,0.4574,356.74,215.87,1.653,188,7619.4,0.0645,57.2095,,,,,
1,1.2,0.8,20,6,10,0.5,0.585,0.406,15.8,0.141,17.01,1.247,0.3122,275.31,100.25,2.746,221,3139.8,0.0756,57.0155,,,,,
2,1.2,0.8,16,6,8,0.3,0.581,0.419,7.0,0.169,40.13,1.336,0.393,406.47,197.08,2.062,201,6952.6,0.0551,56.9971,,,,,
2,1.2,0.8,16,4,4,0.3,0.583,0.416,10.3,0.148,29.72,1.297,0.3125,415.1,145.45,2.854,208,5022.2,0.0706,56.8914,,,,,
2,1.2,0.65,16,8,10,0.3,0.584,0.416,7.2,0.2,47.0,1.376,0.3966,433.64,207.17,2.093,179,7416.8,0.076,56.8798,,,,,
2,1.2,0.8,20,4,8,0.15,0.579,0.421,9.6,0.18,37.97,1.329,0.3019,507.84,165.21,3.074,159,5158.6,0.0599,56.7028,,,,,
2,1.5,0.65,20,6,10,0.5,0.585,0.404,15.1,0.157,34.04,1.268,0.2807,573.62,176.52,3.25,114,3242.6,0.0925,56.6836,,,,,
2,1.2,0.65,12,8,10,0.3,0.581,0.419,7.3,0.182,44.9,1.369,0.4611,361.23,225.77,1.6,180,7080.2,0.0737,56.627,,,,,
1,1.2,0.8,20,6,6,0.3,0.582,0.413,15.2,0.174,17.94,1.325,0.277,264.13,76.38,3.458,213,3224.7,0.0812,56.5906,,,,,
2,1.2,0.65,20,4,10,0.15,0.577,0.423,9.8,0.213,45.42,1.369,0.3239,519.83,181.91,2.858,142,5659.4,0.0588,56.5243,,,,,
2,1.2,0.8,16,8,10,0.15,0.576,0.424,10.2,0.162,39.49,1.32,0.415,392.1,210.62,1.862,147,4992.6,0.0601,56.3972,,,,,
1,1.2,0.65,20,6,10,0.5,0.58,0.401,15.9,0.144,16.52,1.244,0.3045,276.81,97.47,2.84,220,3017.6,0.0856,56.3451,,,,,
2,1.2,0.8,12,6,6,0.3,0.576,0.424,8.8,0.148,33.92,1.317,0.42,335.53,184.48,1.819,200,5670.4,0.0644,56.3125,,,,,
2,1.2,0.8,8,6,6,0.3,0.576,0.424,8.6,0.133,34.95,1.329,0.5528,255.27,237.36,1.075,199,5845.4,0.0683,56.2341,,,,,
2,1.2,0.8,12,10,8,0.3,0.574,0.426,6.9,0.172,42.5,1.365,0.4497,353.32,211.53,1.67,189,6991.0,0.0585,56.2305,,,,,
2,1.2,0.8,20,4,6,0.15,0.574,0.425,10.6,0.175,33.6,1.329,0.2671,508.68,139.52,3.646,161,4513.8,0.0679,56.0453,,,,,
1,1.5,0.65,20,4,10,0.5,0.571,0.084,26.7,0.185,20.09,1.317,0.2821,295.83,88.24,3.352,117,2022.4,0.1055,56.0246,,,,,
2,1.2,0.65,12,6,8,0.3,0.574,0.426,7.8,0.167,39.04,1.335,0.4264,364.78,203.1,1.796,197,6593.6,0.0721,55.9581,,,,,
2,1.2,0.8,16,10,10,0.3,0.572,0.428,7.6,0.163,40.83,1.315,0.4076,417.83,218.57,1.912,184,6499.6,0.0657,55.8853,,,,,
2,1.2,0.8,16,8,8,0.3,0.57,0.43,6.4,0.193,45.73,1.385,0.3936,418.12,196.0,2.133,188,7556.0,0.0668,55.6641,,,,,
2,1.5,0.8,16,4,10,0.5,0.577,0.418,14.5,0.143,36.21,1.266,0.3805,453.31,220.0,2.06,113,3459.4,0.1031,55.652,,,,,
2,1.2,0.8,12,4,6,0.15,0.579,0.393,17.7,0.096,21.05,1.2,0.4,315.5,175.25,1.8,165,2554.4,0.1168,55.6475,,,,,
1,1.2,0.8,20,4,4,0.3,0.574,0.405,18.0,0.153,14.51,1.289,0.2385,271.64,66.04,4.113,218,2552.3,0.091,55.6435,,,,,
1,1.2,0.65,12,4,10,0.5,0.573,0.341,21.6,0.094,11.92,1.182,0.4386,176.81,116.89,1.513,228,2079.9,0.099,55.5779,,,,,
1,1.2,0.8,12,4,4,0.5,0.576,0.37,19.6,0.11,11.95,1.224,0.3556,183.45,82.71,2.218,239,2186.6,0.1097,55.5681,,,,,
2,1.2,0.5,8,4,6,0.3,0.568,0.432,9.7,0.145,31.66,1.295,0.4667,298.06,201.44,1.48,195,5081.6,0.0637,55.526,,,,,
1,1.2,0.8,16,6,10,1.0,0.572,0.393,19.6,0.098,12.66,1.187,0.3983,201.9,112.59,1.793,231,2278.2,0.0944,55.417,,,,,
1,1.2,0.8,16,4,8,0.5,0.571,0.409,18.5,0.113,13.64,1.216,0.368,208.38,99.74,2.089,231,2503.2,0.088,55.4007,,,,,
2,1.2,0.8,8,6,4,0.3,0.568,0.432,10.8,0.114,26.43,1.276,0.4904,249.49,188.21,1.326,208,4339.0,0.0716,55.368,,,,,
2,1.2,0.8,16,10,8,0.3,0.566,0.434,6.6,0.187,43.66,1.369,0.381,425.02,191.02,2.225,189,7210.8,0.0637,55.3266,,,,,
1,1.2,0.5,20,6,8,0.3,0.571,0.415,15.8,0.173,16.51,1.28,0.2585,291.91,79.52,3.671,205,2809.6,0.092,55.3021,,,,,
1,1.5,0.65,20,6,10,1.0,0.565,0.124,25.7,0.175,19.13,1.303,0.2869,287.03,88.65,3.238,122,1991.8,0.1073,55.2871,,,,,
1,1.2,0.65,20,8,10,0.3,0.568,0.421,15.3,0.157,17.57,1.269,0.3088,268.19,94.41,2.841,204,3012.4,0.0827,55.1795,,,,,
1,1.2,0.65,16,6,8,0.3,0.571,0.38,20.4,0.116,13.08,1.217,0.3645,200.96,94.67,2.123,214,2200.8,0.1077,55.0921,,,,,
